producto_codigo,producto_codigo_ministerio,producto_nombre,tippro_nombre,producto_fechacreacion,natcar_nombre,usuario_nombre
1,5201,NINGUNO,MERCANCIAS VARIAS,2007-03-15,NORMAL,ADMINISTRADOR
2,101,"CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
3,102,ANIMALES VIVOS DE LA ESPECIE BOVINA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
4,103,ANIMALES VIVOS DE LA ESPECIE PORCINA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
5,104,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
6,105,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS Y PINTADAS DE LAS ESPECIES DOMESTICAS,  VIVOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
7,106,LOS DEMAS ANIMALES VIVOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
8,201,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
9,202,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
10,203,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
11,204,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
12,205,"CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR FRESCA, REFRIGERADA O CONGELADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
13,206,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR FRESCOS, REFRIGERADOS O CONGELADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
14,207,"CARNE Y DESPOJOS COMESTIBLES DE AVES DE LA PARTIDA 0 1.0 5, FRESCOS, REFRIGERDOS O CONGELADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
15,208,"LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
